,name,industry_label_list,revenue,netIncome,equity,numEmployees,locationCity_list,stockSymbol,tradedAs_list,ceo_name_list,foundingDate,founded_list,revenue_usd
0,A&W (Canada),Fast food,1340000000.0,,,20000,,,,,,,989889445.7547169
1,ALTEN,"Consultant,Information technology,Outsourcing",2269000000.0,,,33700,,,,,,,2274218700.0
2,AMC Theatres,Entertainment,1242400000.0,,,4408,,,,,,,1242400000.0
3,APA Corporation,Petroleum industry,4308000000.0,,,3163,,,,,,,4308000000.0
4,AFC Ajax N.V.,Sport industry,118000000.0,,,339,,,,,,,118271400.0
5,Mohawk Industries,Conglomerate (company),10000000000.0,,,42100,,,,,,,10000000000.0
6,Mondelez International,Food processing,25870000000.0,,,80000,,,,,,,25870000000.0
7,Monzo,Financial services,67.2,,,1551,,,,,,,77.77393392838586
8,Mostogradnja,Bridge,8110000.0,,,447,,,,,,,8128653.0
9,ANC Sports,Sports marketing,60000000.0,,,230,,,,,,,60000000.0
10,Wawa (company),"Convenience store,Fast food,Filling station",13000000000.0,,,37000,,,,,,,13000000000.0
11,Eneos,List of oil exploration and production companies,7523.0,,,13290,,,,,,,51.18315843062721
12,West Pharmaceutical Services,"Medical device,Pharmaceutical industry",1849.0,,,8200,,,,,,,1849.0
13,Fazioli,Musical instrument,10000000.0,,,50,,,,,,,10023000.0
14,Werner & Mertz,Chemical industry,455000000.0,,,1050,,,,,,,456046500.0
15,Wesfarmers,Conglomerate (company),30800000000.0,,,107000,,,,,,,30800000000.0
16,Far East Global Group,Construction,1296.0,,,1429,,,,,,,1296.0
17,Enerpac Tool Group,Conglomerate (company),1200000000.0,,,5400,,,,,,,1200000000.0
18,Washington Prime Group,Real estate investment trust,661000000.0,,,845,,,,,,,661000000.0
19,Wessex Water,Water industry,547700000.0,,,2547,,,,,,,633880708.52049
20,Entergy,Energy industry,10113000000.0,,,13504,,,,,,,10113000000.0
21,Euronics,Retail,18800000000.0,,,50000,,,,,,,18843240000.0
22,Evergy,Electric utility,5148000000.0,,,5000,,,,,,,5148000000.0
23,Air New Zealand,Airline,-72000000.0,,,9988,,,,,,,-72000000.0
24,Air Nostrum,Airline,500000000.0,,,1500,,,,,,,501150000.0
25,Envision Healthcare,Health care,14700000000.0,,,57750,,,,,,,14700000000.0
26,Ernst & Young,Professional services,40000000000.0,,,312250,,,,,,,40000000000.0
27,Aker Solutions,List of oilfield service companies,22461.0,,,13796,,,,,,,2177.0714354788797
28,All Nippon Airways,Airline,1974000000000.0,,,45849,,,,,,,13430221286.994299
29,Atlas Energy,Energy,1.59,,,978,,,,,,,1.59
30,Atwoods,Retail,316000000.0,,,1500,,,,,,,316000000.0
31,Audi,Automotive industry,55680000000.0,,,90783,,,,,,,55808064000.0
32,Augstsprieguma tīkls,Electricity,185770000.0,,,548,,,,,,,186197271.0
33,Alaska Air Group,Transport,8264000000.0,,,23376,,,,,,,8264000000.0
34,Alenia Aeronautica,"Aerospace,Arms industry",2530000000.0,,,13910,,,,,,,2535819000.0
35,Aspen Pharmacare,"Health care,Pharmaceutical industry",42596000000.0,,,10676,,,,,,,2369096996.8703527
36,Asteelflash Group,Electronics manufacturing services,1048000000.0,,,5700,,,,,,,1050410400.0
37,Atlas Mara Limited,"Bank,Finance",420000000.0,,,6500,,,,,,,420000000.0
38,Alibaba Group,Technology company,109480000000.0,,,251462,,,,,,,109480000000.0
39,Avianca Brasil,Airline,720000000.0,,,1687,,,,,,,720000000.0
40,BIOVIA,"Academy,Aerospace,Automotive industry,Energy,Fast-moving consumer goods,List of life sciences,Manufacturing,Materials science,Technology",155000000.0,,,700,,,,,,,155000000.0
41,BICO Group,"3D bioprinting,Biotechnology,Medical device",4880000.0,,,200,,,,,,,4880000.0
42,BLG Logistics,Logistics,1065000000.0,,,11609,,,,,,,1067449500.0
43,BW Offshore,Petroleum industry,982400000.0,,,2201,,,,,,,982400000.0
44,Babylon Health,Health care,79000000.0,,,2189,,,,,,,79000000.0
45,Axiall,Chemical industry,8600000000.0,,,9500,,,,,,,8600000000.0
46,BTG Pactual,Financial services,1800000000.0,,,3515,,,,,,,1800000000.0
47,Aviat Networks,Telecommunications,243858.0,,,708,,,,,,,243858.0
48,BAZAN Group,Petrochemical industry,13520000000.0,,,1800,,,,,,,13520000000.0
49,Donaldson Company,"Filtration,Membrane,Valve",2220.3,,,11700,,,,,,,2220.3
50,Dorothy Lane Market,Grocery store,100000000.0,,,800,,,,,,,100000000.0
51,Centergazservice-opt,"Carbon,Electricity generation,Natural gas",4.0,,,50,,,,,,,0.0380952380952381
52,Poundland,Retail,1310000000.0,,,18000,,,,,,,1516128771.5206172
53,Public Service Enterprise Group,Public utility,9696000000.0,,,12945,,,,,,,9696000000.0
54,Dynatrace,"Application security,Artificial Intelligence for IT Operations,Business analytics,Experience management,IT infrastructure,IT operations analytics,Observability",703509000.0,,,3000,,,,,,,703509000.0
55,Profire Energy,Petroleum industry,51.2,,,111,,,,,,,51.2
56,Puma Energy,Petroleum industry,9944.0,,,7900,,,,,,,9944.0
57,Dot Foods,Foodservice distributor,6200000000.0,,,4500,,,,,,,6200000000.0
58,Du (company),Telecommunications,3100000000.0,,,3176,,,,,,,3100000000.0
59,ProRail,Rail transport,1286000000.0,,,4399,,,,,,,1288957800.0
60,Pure Telecom,Telecommunications,20000000.0,,,200,,,,,,,20046000.0
61,Pushpay,Software as a service,181100000.0,,,405,,,,,,,181100000.0
62,Qihoo 360,Software,1390000000.0,,,4200,,,,,,,1390000000.0
63,SPAR (retailer),Retail,37100000000.0,,,370000,,,,,,,37185330000.0
64,SSQ Insurance,"Insurance,Investment,Real estate",3000000000.0,,,2000,,,,,,,2216170400.943396
65,Safilo Group,"Fashion,Manufacturing",780300000.0,,,5125,,,,,,,782094690.0
66,Saint-Gobain,Building material,41800000000.0,,,180000,,,,,,,41896140000.0
67,Qdoba,Restaurant,437200000.0,,,90000,,,,,,,437200000.0
68,Qurate Retail Group,Broadcasting,14.177,,,28255,,,,,,,14.177
69,Saidal,Medication,982000000.0,,,4300,,,,,,,982000000.0
70,Quality Bicycle Products,Bicycle industry,200000000.0,,,690,,,,,,,200000000.0
71,SCM Holdings,Holding company,23470000000.0,,,300000,,,,,,,23470000000.0
72,Schneider Electric,Electrical device,25200000000.0,,,128000,,,,,,,25257960000.0
73,Salem Media Group,"Mass media,Radio broadcasting",262780000.0,,,1173,,,,,,,262780000.0
74,Schwind eye tech solutions,Health technology,25500000.0,,,100,,,,,,,25558650.0
75,Samruk-Kazyna,Conglomerate (company),5124000000.0,,,312400,,,,,,,
76,Scotiabank,"Bank,Financial services",31250000000.0,,,89488,,,,,,,31250000000.0
77,Scientific Atlanta,Broadband,1900000000.0,,,9784,,,,,,,1900000000.0
78,Ørsted (company),Electricity generation,77700000000.0,,,6429,,,,,,,10470242400.613058
79,Østfold Energi,Electric utility,873000000.0,,,83,,,,,,,84617041.23472072
80,FBL Financial Group,"Annuity (American),Life insurance,Viatical settlement",719.0,,,5600,,,,,,,719.0
81,Legrand (company),Electrical device,6622000000.0,,,39000,,,,,,,6637230600.0
82,Ziebart,Automotive aftermarket,170000000.0,,,578,,,,,,,170000000.0
83,Information Builders,"Consultant,Software",315000000.0,,,1400,,,,,,,315000000.0
84,Össur,Health care,686000000.0,,,4000,,,,,,,686000000.0
85,Österreichische Post,Logistics,1939000000.0,,,20500,,,,,,,1943459700.0
86,ATP Oil and Gas,Petroleum industry,312.0,,,64,,,,,,,312.0
87,ATS Medical,Health technology,75.7,,,245,,,,,,,75.7
88,SHI International Corp,"Business-to-business,Information technology",11000000000.0,,,5000,,,,,,,11000000000.0
89,Merck Consumer Health,"Fast-moving consumer goods,List of life sciences",753640000.0,,,2000,,,,,,,755373372.0
90,JinkoSolar,Photovoltaics,5380000000.0,,,13500,,,,,,,5380000000.0
91,Accountor,Finance,221000000.0,,,2200,,,,,,,221508300.0
92,Huf Haus,Prefabricated home,100000000.0,,,434,,,,,,,100230000.0
93,The Biltmore Company,Hospitality industry,207000000.0,,,2400,,,,,,,207000000.0
94,Smorgon Steel,Steelmaking,3200000000.0,,,5800,,,,,,,3200000000.0
95,Kontron,Computer hardware,467700000.0,,,1286,,,,,,,468775710.0
96,A Place for Mom,"Elderly care,Retirement home",50000000.0,,,874,,,,,,,50000000.0
97,Wind Telecom,Telecommunications,7200000000.0,,,7000,,,,,,,7200000000.0
98,AirBaltic,Airline,138000000.0,,,1195,,,,,,,138317400.0
99,Aegon N.V.,Financial services,25657.0,,,22400,,,,,,,25716.0111
100,Agricultural Bank of China,"Bank,Financial services",602560000000.0,,,467631,,,,,,,
101,AgustaWestland,Aerospace manufacturer,4243.0,,,12500,,,,,,,4252.7589
102,Aimco,Real estate investment trust,151000000.0,,,52,,,,,,,151000000.0
103,E-CO Energi,Electric utility,4076.0,,,172,,,,,,,395.0733792356491
104,EDP Group,Electric utility,15746.0,,,12084,,,,,,,15782.2158
105,Eberspächer,Automotive industry,4.0,,,9902,,,,,,,4.0092
106,Dentsply Sirona,Dental instrument,4030000000.0,,,16000,,,,,,,4030000000.0
107,EOS Group,"Debt collection,Financial services",853.0,,,7578,,,,,,,854.9619
108,Eagle Materials,Building material,1211000000.0,,,2220,,,,,,,1211000000.0
109,"Ecast, Inc.",Internet,7000000.0,,,81,,,,,,,7000000.0
110,Ecopetrol,Petroleum industry,50223000000000.0,,,9315,,,,,,,
111,ETL Group,"Audit,Financial services,Legal advice,Management consulting,Tax",950000000.0,,,10000,,,,,,,952185000.0
112,EagleBank,Financial services,367268000.0,,,515,,,,,,,367268000.0
113,Ebro Foods,Food processing,2813000000.0,,,7522,,,,,,,2819469900.0
114,Ecobank,Financial services,2280000000.0,,,19568,,,,,,,2280000000.0
115,Delivery Hero,Online food ordering,1238000000.0,,,24617,,,,,,,1240847400.0
116,Digex,Telecommunications,187000000.0,,,785,,,,,,,187000000.0
117,Digital Realty,Real estate investment trust,3209000000.0,,,1550,,,,,,,3209000000.0
118,Earls (restaurant chain),Restaurant,250000000.0,,,5000,,,,,,,250000000.0
119,Eiffage,"Civil engineering,Construction",14000000000.0,,,70893,,,,,,,14032200000.0
120,Hamamatsu Photonics,Electronics,1010000000.0,,,4420,,,,,,,1010000000.0
121,Hayneedle,"Decorative arts,E-commerce,Household goods,Online shopping,Retail",350000000.0,,,800,,,,,,,350000000.0
122,Hellenic Vehicle Industry,Automotive industry,108200000.0,,,380,,,,,,,108448860.0
123,Hana Micron,Semiconductor industry,260.0,,,1300,,,,,,,260.0
124,Halliburton,Petroleum,23995000000.0,,,55000,,,,,,,23995000000.0
125,HanseYachts,Boat building,152000000.0,,,1419,,,,,,,152349600.0
126,LendingClub,"Personal finance,Software",574500000.0,,,1837,,,,,,,574500000.0
127,Lightspeed (company),"E-commerce,Point of sale",221700000.0,,,2000,,,,,,,221700000.0
128,Lincolnshire Co-operative,Retail,355.0,,,2870,,,,,,,410.8593235800146
129,Leadtek,Computer hardware,169900000.0,,,498,,,,,,,169900000.0
130,Libro Credit Union,Financial services,96659000.0,,,700,,,,,,,96659000.0
131,LifeArc,Medical research,1204.0,,,180,,,,,,,1393.4496495502467
132,Store Capital,Real estate investment trust,783000000.0,,,100,,,,,,,783000000.0
133,Swisslion Group,Food industry,8340000.0,,,488,,,,,,,8359182.0
134,Synechron Inc,"Consultant,Financial services,Information technology",800000000.0,,,13000,,,,,,,800000000.0
135,Synopsys,"Integrated circuit,Internet of things,Self-driving car,Software as a service,Software testing",4200000000.0,,,15000,,,,,,,4200000000.0
136,Triumph International,Fashion,1437000000.0,,,30000,,,,,,,1440305100.0
137,Troms Kraft,Electric utility,2650.0,,,433,,,,,,,256.8558525452576
138,Tupperware Brands,"Household goods,Multi-level marketing",230040000.0,,,13500,,,,,,,230040000.0
139,U.S. Steel,Steel,9741000000.0,,,23350,,,,,,,9741000000.0
140,Triumph Group,"Aerospace,Manufacturing",2900000000.0,,,14309,,,,,,,2900000000.0
141,Turkish Aerospace Industries,"Aerospace manufacturer,Arms industry",2260000000.0,,,8500,,,,,,,2260000000.0
142,Uber,Transport,11139000000.0,,,22800,,,,,,,11139000000.0
143,Sumitomo Mitsui Construction,Construction,3700000000.0,,,4444,,,,,,,3700000000.0
144,Tutor Perini,Construction,4760000000.0,,,10061,,,,,,,4760000000.0
145,Twilio,Communication,1760000000.0,,,4500,,,,,,,1760000000.0
146,Swissport Tanzania,Aviation,56800000000.0,,,994,,,,,,,
147,Synacor,Technology,127400000.0,,,449,,,,,,,127400000.0
148,Giuliani Partners,"Investment fund,Management consulting,Real estate",40000000.0,,,50,,,,,,,40000000.0
149,Mitsubishi Research Institute,Consultant,72500000000.0,,,3741,,,,,,,493257874.0157481
150,"Ride & Show Engineering, Inc.",Engineering,5000000.0,,,50,,,,,,,5000000.0
151,Uganda Development Bank Limited,Finance,22110000000.0,,,88,,,,,,,22110000000.0
152,DekaBank (Germany),Financial services,928300000.0,,,4711,,,,,,,930435090.0
153,Ukrtatnafta,Refining,1300000000.0,,,4000,,,,,,,1300000000.0
154,Sparebanken Vest,Bank,55.0,,,732,,,,,,,5.330970524524215
155,Menarini,Medication,3.0,,,17650,,,,,,,3.0069
156,Gakken,Publishing,969000000.0,,,6930,,,,,,,969000000.0
157,Garrett Motion,Automotive industry,3375000000.0,,,6000,,,,,,,3375000000.0
158,Blue Bell Creameries,Ice cream,680000000.0,,,1000,,,,,,,680000000.0
159,Bovie Medical,Medical device,28200000.0,,,200,,,,,,,28200000.0
160,Gensler,Architecture,1200000000.0,,,6000,,,,,,,1200000000.0
161,Blue Cross Blue Shield of Massachusetts,Healthcare industry,4800000000.0,,,3600,,,,,,,4800000000.0
162,Boston Market,Restaurant,373000000.0,,,14000,,,,,,,373000000.0
163,Bralirwa Brewery,Brewing,86350000000.0,,,546,,,,,,,86350000000.0
164,Galletas Fontaneda,Food processing,30149000.0,,,600,,,,,,,30218342.7
165,Bluebird bio,Biotechnology,220000000.0,,,1090,,,,,,,220000000.0
166,Brasil Telecom,Telecommunications,6500000000.0,,,20451,,,,,,,6500000000.0
167,Galena Biopharma,Biotechnology,7400000.0,,,60,,,,,,,7400000.0
168,Gerrity's Supermarkets,Grocery store,204000000.0,,,1200,,,,,,,204000000.0
169,Hokkaido Electric Power Company,"Electric power transmission,Electricity generation",733050.0,,,10962,,,,,,,4987.347373065436
170,Getinge Group,Health care,29756000000.0,,,15582,,,,,,,
171,Henry Ford Health System,Health care,5800000000.0,,,31600,,,,,,,5800000000.0
172,Lunds & Byerlys,Retail,500000000.0,,,3900,,,,,,,500000000.0
173,M. DuMont Schauberg,Mass media,671250000.0,,,4254,,,,,,,672793875.0
174,Heritage Foods,"Agribusiness,Dairy",3000.0,,,3000,,,,,,,36.57762207138165
175,LoanDepot,Mortgage loan,4300000000.0,,,11763,,,,,,,4300000000.0
176,Loewe (fashion brand),"Clothing,Fashion accessory",341100000.0,,,1300,,,,,,,341100000.0
177,Logista,"Distribution (marketing),Wholesaling",9470000000.0,,,6000,,,,,,,9491781000.0
178,Arkema,Chemical industry,7900000000.0,,,20500,,,,,,,7918170000.0
179,Hersha Hospitality Trust,Real estate investment trust,529000000.0,,,49,,,,,,,529000000.0
180,HiPay,Payment service provider,34900000.0,,,200,,,,,,,34980270.0
181,NEK EAD,Electricity,1500000000.0,,,15000,,,,,,,1500000000.0
182,Nakheel Properties,Real estate,5670000000.0,,,1500,,,,,,,
183,Navy Exchange,Retail,3200000000.0,,,14000,,,,,,,3200000000.0
184,Neo Solar Power,"Optoelectronics,Photovoltaics,Solar energy",420000000.0,,,2400,,,,,,,420000000.0
185,NHST Media Group,Mass media,1294000.0,,,700,,,,,,,125423.19743153335
186,NOS (Portuguese company),"Mass media,Telecommunications",1590000000.0,,,1909,,,,,,,1593657000.0
187,Nabtesco,Machine,294600000000.0,,,7713,,,,,,,2004327857.7246811
188,Natuzzi,"Manufacturing,Upholstery",488500000.0,,,5633,,,,,,,489623550.0
189,Petroleum Geo-Services,Petroleum,590000000.0,,,1800,,,,,,,590000000.0
190,NBS Bank,Bank,1700000000.0,,,342,,,,,,,1700000000.0
191,NYSE Euronext,Financial services,3750000000.0,,,3061,,,,,,,3750000000.0
192,Nationwide Mutual Insurance Company,Financial services,41900000000.0,,,25391,,,,,,,41900000000.0
193,Natixis,Financial services,7200000000.0,,,19580,,,,,,,7216560000.0
194,Nederlandse Spoorwegen,Rail transport,6601.0,,,36600,,,,,,,6616.1822999999995
195,Petit Bateau,Textile industry,265000000.0,,,4000,,,,,,,265609500.0
196,Piotr i Paweł,Retail,2123000000.0,,,4000,,,,,,,
197,Polomarket,Retail,2410000000.0,,,7000,,,,,,,
198,Radvision,"Teleconference,Videotelephony",78000000.0,,,430,,,,,,,78000000.0
199,Plains Exploration & Production,Petroleum industry,2565000000.0,,,906,,,,,,,2565000000.0
200,RAI,Mass media,2493000000.0,,,11635,,,,,,,2498733900.0
201,Rafael Advanced Defense Systems,"Aerospace,Arms industry",2700000000.0,,,7000,,,,,,,2700000000.0
202,Rauma Marine Constructions,"Arms industry,Shipbuilding",41234000.0,,,182,,,,,,,41328838.199999996
203,Raymond James Financial,Investment,7990000000.0,,,18910,,,,,,,7990000000.0
204,Reichle & De-Massari,Information and communications technology,265.1,,,1232,,,,,,,267.9335787032369
205,Springer Nature,Publishing,1720000000.0,,,10000,,,,,,,1720000000.0
206,StandardAero,"Aircraft maintenance,Arms industry",3000000000.0,,,6000,,,,,,,3000000000.0
207,Statoil Fuel & Retail,"Convenience store,Petroleum industry",73700000000.0,,,17500,,,,,,,7143500502.862448
208,Jolidon,Clothing,80000000.0,,,2000,,,,,,,80184000.0
209,Spectris,Instrumentation,1292.0,,,8000,,,,,,,1495.2964677897996
210,Recipe Unlimited,Restaurant,1252.0,,,40000,,,,,,,1252.0
211,Red Lion Hotels Corporation,Hospitality,142920000.0,,,1783,,,,,,,142920000.0
212,Red Lobster,Restaurant,2600000000.0,,,55000,,,,,,,2600000000.0
213,Rede S.A.,Financial services,1500000000.0,,,2455,,,,,,,1500000000.0
214,Specialized Bicycle Components,Bicycle,500000000.0,,,1500,,,,,,,500000000.0
215,Spike Chunsoft,Video game industry,480900000.0,,,200,,,,,,,3271830.505023079
216,Stamps.com,Service (economics),757980000.0,,,1100,,,,,,,757980000.0
217,Standard Chartered Uganda,Financial services,72000000000.0,,,600,,,,,,,72000000000.0
218,Yazaki,Automotive industry,17600000000.0,,,306118,,,,,,,17600000000.0
219,Yokogawa Electric,"Electrical device,Information technology",404400000000.0,,,18107,,,,,,,2751358403.4754276
220,Zappos,Retail,2000000000.0,,,1500,,,,,,,2000000000.0
221,Zilog,Semiconductor,82000000.0,,,174,,,,,,,82000000.0
222,Zilog,Semiconductor,67200000.0,,,174,,,,,,,67200000.0
223,Ann Inc.,Retail,248800000.0,,,19900,,,,,,,248800000.0
224,Steris,Medical device,2.78,,,12000,,,,,,,2.78
225,Sensient Technologies,Aroma compound,1468.0,,,3986,,,,,,,1468.0
226,Transfesa,Logistics,290000000.0,,,1125,,,,,,,290667000.0
227,Sterling Financial Corporation,Bank,379000000.0,,,2547,,,,,,,379000000.0
228,Steward Bank,Financial services,5412080.0,,,325,,,,,,,5412080.0
229,Yangtze River Pharmaceutical Group,Pharmaceutical industry,19533000000.0,,,13000,,,,,,,19533000000.0
230,Yokohama Rubber Company,Manufacturing,5220000000.0,,,14617,,,,,,,5220000000.0
231,Zapp Group,Metalworking,400000000.0,,,1300,,,,,,,400920000.0
232,Zenith Data Systems,Computer hardware,1000000000.0,,,2100,,,,,,,1000000000.0
233,Stepan Company,Chemical substance,1925000000.0,,,2096,,,,,,,1925000000.0
234,Yorkshire Water,Water industry,984000000.0,,,2500,,,,,,,1138832603.9513643
235,ZTE,"Networking hardware,Telecommunications equipment",13200000000.0,,,68240,,,,,,,13200000000.0
236,Web Technology Group,Technology,6.0,,,60,,,,,,,6.94410124360588
237,Apollo-Optik,"Health care,Retail",355000000.0,,,3600,,,,,,,355816500.0
238,Albanian Power Corporation,"Electric power distribution,Electric power transmission,Electricity generation,Electricity retailing",20000000000.0,,,994,,,,,,,
239,First Solution Money Transfer,Foreign exchange market,87000000.0,,,100,,,,,,,100689468.03228526
240,Flores (company),Drink,400000.0,,,5,,,,,,,400920.0
241,Ansys,Software,1516000000.0,,,4100,,,,,,,1516000000.0
242,Apple Leisure Group,"Hospitality industry,Tourism,Travel",3000000000.0,,,25000,,,,,,,3000000000.0
243,Apple Productivity Experience Group,Software,350000000.0,,,180,,,,,,,350000000.0
244,Arch Capital Group,Insurance,6980000000.0,,,4500,,,,,,,6980000000.0
245,Architecture for Humanity,"Architecture,Construction,International development,Nonprofit organization",12011838.0,,,0,,,,,,,12011838.0
246,Fisher & Paykel Healthcare,Medical device,1263000000.0,,,5081,,,,,,,1263000000.0
247,Apotex,Pharmaceutical industry,3000000000.0,,,8000,,,,,,,2216170400.943396
248,Armstrong World Industries,List of building materials,936900000.0,,,4200,,,,,,,936900000.0
249,First Alliance Bank Zambia Limited,Bank,14826000.0,,,112,,,,,,,14826000.0
250,First Solar,Photovoltaics,3580000000.0,,,6400,,,,,,,3580000000.0
251,Ford Motor Credit Company,Diversified financial,8996000000.0,,,6500,,,,,,,8996000000.0
252,AptarGroup,Drug delivery,2929000000.0,,,13000,,,,,,,2929000000.0
253,Aruba Networks,Computer network,3000000000.0,,,6000,,,,,,,3000000000.0
254,First Potomac Realty Trust,Real estate investment trust,160000000.0,,,120,,,,,,,160000000.0
255,Flytoget,Rail transport,689000000.0,,,265,,,,,,,66782521.66176698
256,FoodFirst Global Restaurants,Restaurant,407000000.0,,,5000,,,,,,,407000000.0
257,Newell Brands,Final good,14740000000.0,,,31000,,,,,,,14740000000.0
258,Nichicon,Electronics,107200000000.0,,,5792,,,,,,,729341297.8550096
259,Nippon Electric Glass,Glass,2400000000.0,,,5275,,,,,,,2400000000.0
